Datetime,Region,Total de Clientes,Clientes sin Servicio
2022-09-18 18:48:45.702670,Arecibo,"177,369","150,226"
2022-09-18 18:48:45.702670,Bayamon,"216,496","136,388"
2022-09-18 18:48:45.702670,Carolina,"141,663","99,006"
2022-09-18 18:48:45.702670,Caguas,"250,514","198,851"
2022-09-18 18:48:45.702670,Mayaguez,"216,605","131,690"
2022-09-18 18:48:45.702670,Ponce,"212,508","129,872"
2022-09-18 18:48:45.702670,San Juan,"253,068","76,574"
2022-09-18 18:59:03.987233,Arecibo,"177,369","150,226"
2022-09-18 18:59:03.987233,Bayamon,"216,496","136,388"
2022-09-18 18:59:03.987233,Carolina,"141,663","99,008"
2022-09-18 18:59:03.987233,Caguas,"250,514","198,851"
2022-09-18 18:59:03.987233,Mayaguez,"216,605","131,690"
2022-09-18 18:59:03.987233,Ponce,"212,508","136,737"
2022-09-18 18:59:03.987233,San Juan,"253,068","76,574"
2022-09-18 19:19:32.133614,Arecibo,"177,369","150,226"
2022-09-18 19:19:32.133614,Bayamon,"216,496","136,388"
2022-09-18 19:19:32.133614,Carolina,"141,663","99,006"
2022-09-18 19:19:32.133614,Caguas,"250,514","198,851"
2022-09-18 19:19:32.133614,Mayaguez,"216,605","131,690"
2022-09-18 19:19:32.133614,Ponce,"212,508","142,202"
2022-09-18 19:19:32.133614,San Juan,"253,068","78,372"
2022-09-18 19:24:17.384226,Arecibo,"177,369","150,226"
2022-09-18 19:24:17.384226,Bayamon,"216,496","136,388"
2022-09-18 19:24:17.384226,Carolina,"141,663","99,006"
2022-09-18 19:24:17.384226,Caguas,"250,514","198,851"
2022-09-18 19:24:17.384226,Mayaguez,"216,605","131,690"
2022-09-18 19:24:17.384226,Ponce,"212,508","145,379"
2022-09-18 19:24:17.384226,San Juan,"253,068","78,373"
